sessionId,exerciseId,exerciseName,date,dateTime,label,routineSessionId,routineName,mode,stopAtTop,setNumber,repIndex,isFinalRep,weightPerCableKg,cableCount,durationSec,avgPerCableLoadKg,medianPerCableLoadKg,peakPerCableLoadKg,avgTotalLoadKg,medianTotalLoadKg,peakTotalLoadKg,concentricEnergyJ,eccentricEnergyJ,totalEnergyJ,segmentationMethod
b65c0070-6d06-4114-9ffa-ae2f550c6fdd,MUqWc_cySh8Szk49,High Bar Squat,2026-04-09,2026-04-09T12:21:25+08:00,2026-04-09 12:21,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School,True,1,1,False,30.0,2,2.82,29.87,30.0,30.0,59.75,60.0,60.0,99.8,267.7,367.5,status-top-anchored-stop-at-top
b65c0070-6d06-4114-9ffa-ae2f550c6fdd,MUqWc_cySh8Szk49,High Bar Squat,2026-04-09,2026-04-09T12:21:25+08:00,2026-04-09 12:21,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School,True,1,2,False,30.0,2,3.557,29.98,30.0,30.0,59.95,60.0,60.0,263.7,264.8,528.5,status-top-anchored-stop-at-top
b65c0070-6d06-4114-9ffa-ae2f550c6fdd,MUqWc_cySh8Szk49,High Bar Squat,2026-04-09,2026-04-09T12:21:25+08:00,2026-04-09 12:21,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School,True,1,3,False,30.0,2,4.049,29.98,30.0,30.0,59.96,60.0,60.0,260.9,278.2,539.1,status-top-anchored-stop-at-top
b65c0070-6d06-4114-9ffa-ae2f550c6fdd,MUqWc_cySh8Szk49,High Bar Squat,2026-04-09,2026-04-09T12:21:25+08:00,2026-04-09 12:21,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School,True,1,4,False,30.0,2,3.974,29.95,30.0,30.0,59.9,60.0,60.0,278.2,268.6,546.8,status-top-anchored-stop-at-top
b65c0070-6d06-4114-9ffa-ae2f550c6fdd,MUqWc_cySh8Szk49,High Bar Squat,2026-04-09,2026-04-09T12:21:25+08:00,2026-04-09 12:21,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School,True,1,5,True,30.0,2,1.44,29.95,30.0,30.0,59.89,60.0,60.0,266.7,0.0,266.7,status-top-anchored-stop-at-top
faa5ae2b-d211-4fd5-990e-5cf6c61e9a07,MUqWc_cySh8Szk49,High Bar Squat,2026-04-09,2026-04-09T12:24:23+08:00,2026-04-09 12:24,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School,True,2,1,False,30.0,2,2.882,29.98,30.0,30.0,59.96,60.0,60.0,111.9,288.3,400.2,status-top-anchored-stop-at-top
faa5ae2b-d211-4fd5-990e-5cf6c61e9a07,MUqWc_cySh8Szk49,High Bar Squat,2026-04-09,2026-04-09T12:24:23+08:00,2026-04-09 12:24,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School,True,2,2,False,30.0,2,3.649,30.0,30.0,30.0,60.0,60.0,60.0,284.8,275.4,560.2,status-top-anchored-stop-at-top
faa5ae2b-d211-4fd5-990e-5cf6c61e9a07,MUqWc_cySh8Szk49,High Bar Squat,2026-04-09,2026-04-09T12:24:23+08:00,2026-04-09 12:24,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School,True,2,3,False,30.0,2,3.324,30.0,30.0,30.0,59.99,60.0,60.0,271.8,294.5,566.3,status-top-anchored-stop-at-top
faa5ae2b-d211-4fd5-990e-5cf6c61e9a07,MUqWc_cySh8Szk49,High Bar Squat,2026-04-09,2026-04-09T12:24:23+08:00,2026-04-09 12:24,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School,True,2,4,False,30.0,2,3.556,29.97,30.0,30.0,59.94,60.0,60.0,297.2,299.5,596.7,status-top-anchored-stop-at-top
faa5ae2b-d211-4fd5-990e-5cf6c61e9a07,MUqWc_cySh8Szk49,High Bar Squat,2026-04-09,2026-04-09T12:24:23+08:00,2026-04-09 12:24,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School,True,2,5,True,30.0,2,1.411,29.94,30.0,30.0,59.87,60.0,60.0,296.7,0.0,296.7,status-top-anchored-stop-at-top
