id,timestamp,localDateTime,localDate,localTime,label,exerciseId,exerciseName,routineSessionId,routineName,routineId,mode,stopAtTop,targetReps,totalReps,workingReps,warmupReps,weightPerCableKg,cableCount,totalLoadKg,totalVolumeKg,heaviestLiftKg,durationSec,avgMcvMmS,avgAsymmetryPercent,totalVelocityLossPercent,dominantSide,strengthProfile,estimatedOneRepMaxKg
b65c0070-6d06-4114-9ffa-ae2f550c6fdd,1775708485495,2026-04-09T12:21:25+08:00,2026-04-09,12:21,2026-04-09 12:21,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,16.86,30.01,0.005,7.23,BALANCED,FLAT,70.0
faa5ae2b-d211-4fd5-990e-5cf6c61e9a07,1775708663588,2026-04-09T12:24:23+08:00,2026-04-09,12:24,2026-04-09 12:24,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,15.9,29.93,0.002,-72.03,BALANCED,FLAT,70.0
d22864a1-f9f0-41b3-a515-ddce093275db,1775708740882,2026-04-09T12:25:40+08:00,2026-04-09,12:25,2026-04-09 12:25,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,15.96,27.84,0.006,-62.9,BALANCED,FLAT,70.0
5016c19b-34a2-4bd7-bb2d-d0f0e37ec131,1775708921437,2026-04-09T12:28:41+08:00,2026-04-09,12:28,2026-04-09 12:28,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,14.38,33.26,0.003,-79.95,BALANCED,FLAT,70.0
d6fa1bc0-ba31-4e00-a081-545d79145dac,1775709095588,2026-04-09T12:31:35+08:00,2026-04-09,12:31,2026-04-09 12:31,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,14.51,35.05,0.003,-61.06,BALANCED,FLAT,70.0
072fb692-8fe6-40d4-a7f4-24851e756d47,1775709268538,2026-04-09T12:34:28+08:00,2026-04-09,12:34,2026-04-09 12:34,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,15.0,2,30.0,150.0,15.0,10.26,45.6,0.006,-73.19,BALANCED,FLAT,35.0
708d304f-fc05-4ac9-acf4-574c0542a2b0,1775709358615,2026-04-09T12:35:58+08:00,2026-04-09,12:35,2026-04-09 12:35,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,15.0,2,30.0,150.0,15.0,9.85,44.41,0.0,-255.86,BALANCED,FLAT,35.0
c21da9c0-1081-4761-bea1-b2660929f68f,1775709539258,2026-04-09T12:38:59+08:00,2026-04-09,12:38,2026-04-09 12:38,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,15.0,2,30.0,150.0,15.0,16.64,49.2,0.001,-88.52,BALANCED,FLAT,35.0
2e02726b-2e1d-4110-a3bc-8f4dc89b2a15,1775709685643,2026-04-09T12:41:25+08:00,2026-04-09,12:41,2026-04-09 12:41,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,15.0,2,30.0,150.0,15.0,12.05,42.94,0.001,-256.97,BALANCED,FLAT,35.0
3895e641-8c06-4ddb-bd9d-2355f8185abe,1775709747323,2026-04-09T12:42:27+08:00,2026-04-09,12:42,2026-04-09 12:42,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,TUT Beast,True,5,5,5,3,15.0,2,30.0,150.0,15.0,12.82,36.98,0.002,-204.05,BALANCED,FLAT,35.0
8087f473-4e35-4044-8966-a50dcc79f052,1775709870417,2026-04-09T12:44:30+08:00,2026-04-09,12:44,2026-04-09 12:44,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,15.0,2,30.0,150.0,15.0,11.0,60.8,0.005,-66.15,BALANCED,FLAT,35.0
19ed6428-386c-4534-a4a6-508910c2d716,1775709973223,2026-04-09T12:46:13+08:00,2026-04-09,12:46,2026-04-09 12:46,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,15.0,2,30.0,150.0,15.0,9.71,60.2,0.006,-154.86,BALANCED,FLAT,35.0
7acd5789-773b-4924-b5bc-5cfb2071b4df,1775710112997,2026-04-09T12:48:32+08:00,2026-04-09,12:48,2026-04-09 12:48,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,15.0,2,30.0,150.0,15.0,8.47,59.56,0.015,-60.91,BALANCED,FLAT,35.0
d08efcfb-a0a5-445c-aa12-4133d7cbdc84,1775710172318,2026-04-09T12:49:32+08:00,2026-04-09,12:49,2026-04-09 12:49,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,15.0,2,30.0,150.0,15.0,8.32,56.65,0.0,-84.46,BALANCED,FLAT,35.0
539838d1-a88b-43d8-8640-4ca0cf6f59a5,1775710274393,2026-04-09T12:51:14+08:00,2026-04-09,12:51,2026-04-09 12:51,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,6401caa3-c8bd-4711-bc40-4c0e202f224d,Old School,True,5,5,5,3,15.0,2,30.0,150.0,15.0,8.93,56.96,0.002,-82.2,BALANCED,FLAT,35.0
caeb7905-7221-4570-9ee5-bf29844b1e9e,1775874531840,2026-04-11T10:28:51+08:00,2026-04-11,10:28,2026-04-11 10:28,MUqWc_cySh8Szk49,High Bar Squat,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,12.47,37.34,0.001,-164.46,BALANCED,FLAT,70.0
79a0a11e-a2fe-4be9-ada8-7fc141470cc8,1775874636902,2026-04-11T10:30:36+08:00,2026-04-11,10:30,2026-04-11 10:30,MUqWc_cySh8Szk49,High Bar Squat,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,13.54,37.74,0.005,-42.41,BALANCED,FLAT,70.0
5badfe37-547b-4525-ad41-de41bb2eb8b0,1775874813992,2026-04-11T10:33:33+08:00,2026-04-11,10:33,2026-04-11 10:33,MUqWc_cySh8Szk49,High Bar Squat,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,13.21,38.84,0.002,-38.14,BALANCED,FLAT,70.0
f54e743b-db04-4906-a688-e4a78da0acfa,1775874936245,2026-04-11T10:35:36+08:00,2026-04-11,10:35,2026-04-11 10:35,MUqWc_cySh8Szk49,High Bar Squat,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,30.0,2,60.0,300.0,30.0,12.83,37.4,0.004,-142.73,BALANCED,FLAT,70.0
72772ad2-169e-4260-87c6-ce147a8c99c6,1775875109511,2026-04-11T10:38:29+08:00,2026-04-11,10:38,2026-04-11 10:38,MUqWc_cySh8Szk49,High Bar Squat,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,31.0,2,62.0,310.0,31.0,13.43,36.63,0.005,-214.62,BALANCED,FLAT,72.33
c8ce8d44-b4ae-4006-8d0b-20251924a752,1775875292781,2026-04-11T10:41:32+08:00,2026-04-11,10:41,2026-04-11 10:41,e467f6b8-1e92-4571-b3e6-c020ca7099c3,Overhead Press,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,10.0,2,20.0,100.0,10.0,12.74,56.24,0.001,-51.97,BALANCED,FLAT,23.33
efd935a3-1e12-458b-b4b2-22b3e9363b37,1775875417761,2026-04-11T10:43:37+08:00,2026-04-11,10:43,2026-04-11 10:43,e467f6b8-1e92-4571-b3e6-c020ca7099c3,Overhead Press,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,10.0,2,20.0,100.0,10.0,15.15,61.98,0.001,-131.82,BALANCED,FLAT,23.33
ea0d3c96-9f60-406d-a7c7-2af8c851891b,1775875603433,2026-04-11T10:46:43+08:00,2026-04-11,10:46,2026-04-11 10:46,e467f6b8-1e92-4571-b3e6-c020ca7099c3,Overhead Press,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,10.0,2,20.0,100.0,10.0,14.32,62.98,0.005,-86.19,BALANCED,FLAT,23.33
b69a9b3d-a4e2-4101-a5be-33492a998bd9,1775875711072,2026-04-11T10:48:31+08:00,2026-04-11,10:48,2026-04-11 10:48,e467f6b8-1e92-4571-b3e6-c020ca7099c3,Overhead Press,1c813184-b8f2-48dd-b47e-e3fe15f19356,stronglift 5x5 B,33a8d40e-2c44-4ec9-95c4-61145095e96d,Old School,True,5,5,5,3,10.0,2,20.0,100.0,10.0,13.45,58.89,0.002,-175.27,BALANCED,FLAT,23.33
