id,sessionId,setNumber,displaySetNumber,setType,actualReps,actualWeightPerCableKg,actualTotalLoadKg,actualVolumeKg,loggedRpe,isPr,completedLocalDateTime,completedLocalDate,exerciseId,exerciseName,routineSessionId,routineName,mode
280a7c85-494a-45b5-bd1e-d9ec01c43d6a,b65c0070-6d06-4114-9ffa-ae2f550c6fdd,0,1,STANDARD,5,30.0,60.0,300.0,,True,2026-04-09T12:21:52+08:00,2026-04-09,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School
7f44b72d-61d7-452d-bc41-e692bc38dba4,faa5ae2b-d211-4fd5-990e-5cf6c61e9a07,1,2,STANDARD,5,30.0,60.0,300.0,,False,2026-04-09T12:24:49+08:00,2026-04-09,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School
687f5cfd-c0f0-4410-8e61-fab7f50de664,d22864a1-f9f0-41b3-a515-ddce093275db,2,3,STANDARD,5,30.0,60.0,300.0,,False,2026-04-09T12:26:10+08:00,2026-04-09,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School
0cdb83bb-7306-4c60-a701-576e73af213c,5016c19b-34a2-4bd7-bb2d-d0f0e37ec131,3,4,STANDARD,5,30.0,60.0,300.0,,False,2026-04-09T12:29:04+08:00,2026-04-09,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School
3369d394-ff48-4503-ab86-061b42beec1e,d6fa1bc0-ba31-4e00-a081-545d79145dac,4,5,STANDARD,5,30.0,60.0,300.0,,False,2026-04-09T12:31:58+08:00,2026-04-09,MUqWc_cySh8Szk49,High Bar Squat,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School
b29cc66d-7373-4af9-9ec8-7a3235ebda40,072fb692-8fe6-40d4-a7f4-24851e756d47,0,1,STANDARD,5,15.0,30.0,150.0,,True,2026-04-09T12:34:47+08:00,2026-04-09,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,TUT Beast
ba5a9a28-1300-4dd8-946c-36f993703f68,708d304f-fc05-4ac9-acf4-574c0542a2b0,1,2,STANDARD,5,15.0,30.0,150.0,,False,2026-04-09T12:36:23+08:00,2026-04-09,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,TUT Beast
984546ef-bd93-4950-96a4-742c71eba809,c21da9c0-1081-4761-bea1-b2660929f68f,2,3,STANDARD,5,15.0,30.0,150.0,,False,2026-04-09T12:39:24+08:00,2026-04-09,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,TUT Beast
4c64cd52-e8bb-4f00-8d0c-04c7a3a94378,2e02726b-2e1d-4110-a3bc-8f4dc89b2a15,3,4,STANDARD,5,15.0,30.0,150.0,,False,2026-04-09T12:41:52+08:00,2026-04-09,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,TUT Beast
42ad53c6-88c3-4ff4-9c73-5fd0ded99b16,3895e641-8c06-4ddb-bd9d-2355f8185abe,4,5,STANDARD,5,15.0,30.0,150.0,,False,2026-04-09T12:42:55+08:00,2026-04-09,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,TUT Beast
f7d403ca-4aa3-4690-8a2c-b721e78fc9c6,8087f473-4e35-4044-8966-a50dcc79f052,0,1,STANDARD,5,15.0,30.0,150.0,,True,2026-04-09T12:44:50+08:00,2026-04-09,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School
93809e93-b61b-4a87-979d-412f9868ae33,19ed6428-386c-4534-a4a6-508910c2d716,1,2,STANDARD,5,15.0,30.0,150.0,,False,2026-04-09T12:46:34+08:00,2026-04-09,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School
d6810bf3-82f8-415d-ab93-1e86be4aec90,7acd5789-773b-4924-b5bc-5cfb2071b4df,2,3,STANDARD,5,15.0,30.0,150.0,,False,2026-04-09T12:48:50+08:00,2026-04-09,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,ea11cc92-317f-4a57-9f3c-a72db307b5eb,stronglift 5x5 A,Old School
