workoutId,timestamp,localDateTime,localDate,label,exerciseId,exerciseName,routineName,mode,sets,workingReps,maxWeightPerCableKg,maxTotalLoadKg,totalVolumeKg,estimatedOneRepMaxKg,avgMcvMmS,avgVelocityLossPercent,echoRepCount,nonEchoRepCount,largestRepMedianWeightPerCableKg,largestRepAverageWeightPerCableKg,largestRepMedianTotalLoadKg,largestRepAverageTotalLoadKg,largestEchoRepMedianWeightPerCableKg,largestEchoRepAverageWeightPerCableKg,largestEchoRepPeakWeightPerCableKg,largestEchoRepMedianTotalLoadKg,largestEchoRepAverageTotalLoadKg,largestEchoRepPeakTotalLoadKg,largestEchoRepEnergyJ,largestNonEchoRepMedianWeightPerCableKg,largestNonEchoRepAverageWeightPerCableKg,largestNonEchoRepMedianTotalLoadKg,largestNonEchoRepAverageTotalLoadKg,largestNonEchoRepEnergyJ
ea11cc92-317f-4a57-9f3c-a72db307b5eb,1775708485495,2026-04-09T12:21:25+08:00,2026-04-09,2026-04-09 12:21,MUqWc_cySh8Szk49,High Bar Squat,stronglift 5x5 A,Old School,5,25,30.0,60.0,1500.0,70.0,31.22,-53.74,0,25,30.0,30.0,60.0,60.0,,,,,,,,30.0,30.0,60.0,60.0,591.2
ea11cc92-317f-4a57-9f3c-a72db307b5eb,1775709268538,2026-04-09T12:34:28+08:00,2026-04-09,2026-04-09 12:34,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,stronglift 5x5 A,TUT Beast,5,25,15.0,30.0,750.0,35.0,43.83,-175.72,0,25,15.0,15.0,30.0,30.0,,,,,,,,15.0,15.0,30.0,30.0,289.5
ea11cc92-317f-4a57-9f3c-a72db307b5eb,1775709870417,2026-04-09T12:44:30+08:00,2026-04-09,2026-04-09 12:44,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,stronglift 5x5 A,Old School,5,25,15.0,30.0,750.0,35.0,58.83,-89.72,0,25,15.0,15.0,30.0,30.0,,,,,,,,15.0,15.0,30.0,30.0,269.0
1c813184-b8f2-48dd-b47e-e3fe15f19356,1775874531840,2026-04-11T10:28:51+08:00,2026-04-11,2026-04-11 10:28,MUqWc_cySh8Szk49,High Bar Squat,stronglift 5x5 B,Old School,5,25,31.0,62.0,1510.0,72.33,37.59,-120.47,0,25,31.0,31.0,62.0,62.0,,,,,,,,31.0,31.0,62.0,62.0,604.4
1c813184-b8f2-48dd-b47e-e3fe15f19356,1775875292781,2026-04-11T10:41:32+08:00,2026-04-11,2026-04-11 10:41,e467f6b8-1e92-4571-b3e6-c020ca7099c3,Overhead Press,stronglift 5x5 B,Old School,5,25,10.0,20.0,500.0,23.33,60.3,-97.72,0,25,10.0,10.0,20.0,20.0,,,,,,,,10.0,10.0,20.0,20.0,229.3
1c813184-b8f2-48dd-b47e-e3fe15f19356,1775876077450,2026-04-11T10:54:37+08:00,2026-04-11,2026-04-11 10:54,e64c7837-52e2-4b97-b771-cf08ab861af1,Conventional Deadlift,stronglift 5x5 B,Old School,2,10,22.0,44.0,270.0,51.33,37.12,-16.74,0,10,22.0,22.0,44.0,44.0,,,,,,,,22.0,22.0,44.0,44.0,403.4
79d7bec2-0a96-4ef1-8e65-428710711887,1776286382837,2026-04-16T04:53:02+08:00,2026-04-16,2026-04-16 04:53,MUqWc_cySh8Szk49,High Bar Squat,stronglift 5x5 A,Old School,5,25,31.5,63.0,1575.0,73.5,35.55,-81.27,0,25,31.5,31.5,63.0,63.0,,,,,,,,31.5,31.5,63.0,63.0,627.0
79d7bec2-0a96-4ef1-8e65-428710711887,1776287257218,2026-04-16T05:07:37+08:00,2026-04-16,2026-04-16 05:07,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,stronglift 5x5 A,TUT Beast,5,25,16.0,32.0,800.0,37.33,49.91,-77.48,0,25,16.0,16.0,32.0,31.99,,,,,,,,16.0,16.0,32.0,31.99,261.8
79d7bec2-0a96-4ef1-8e65-428710711887,1776288136546,2026-04-16T05:22:16+08:00,2026-04-16,2026-04-16 05:22,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,stronglift 5x5 A,Old School,5,25,16.0,32.0,800.0,37.33,69.18,-105.54,0,25,16.0,16.0,32.0,32.0,,,,,,,,16.0,16.0,32.0,32.0,392.4
4cafc87d-9188-4e40-a876-99cc926fff0a,1777273654489,2026-04-27T15:07:34+08:00,2026-04-27,2026-04-27 15:07,MUqWc_cySh8Szk49,High Bar Squat,stronglift 5x5 A,Old School,5,25,31.5,63.0,1575.0,73.5,33.15,-177.28,0,25,31.5,31.5,63.0,63.0,,,,,,,,31.5,31.5,63.0,63.0,644.3
4cafc87d-9188-4e40-a876-99cc926fff0a,1777274579928,2026-04-27T15:22:59+08:00,2026-04-27,2026-04-27 15:22,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,stronglift 5x5 A,TUT Beast,5,25,16.0,32.0,800.0,37.33,48.5,-55.31,0,25,16.0,15.99,32.0,31.99,,,,,,,,16.0,15.99,32.0,31.99,263.0
4cafc87d-9188-4e40-a876-99cc926fff0a,1777275458839,2026-04-27T15:37:38+08:00,2026-04-27,2026-04-27 15:37,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,stronglift 5x5 A,Old School,5,25,16.0,32.0,800.0,37.33,64.79,-49.14,0,25,16.0,15.96,32.0,31.92,,,,,,,,16.0,15.96,32.0,31.92,292.6
89b1feeb-dd47-44a1-8b9d-e75a8135244b,1777463415287,2026-04-29T19:50:15+08:00,2026-04-29,2026-04-29 19:50,MUqWc_cySh8Szk49,High Bar Squat,stronglift 5x5 B,Old School,5,25,32.5,65.0,1625.0,75.83,33.94,-136.07,0,25,32.5,32.5,65.0,65.0,,,,,,,,32.5,32.5,65.0,65.0,672.4
89b1feeb-dd47-44a1-8b9d-e75a8135244b,1777464189763,2026-04-29T20:03:09+08:00,2026-04-29,2026-04-29 20:03,e467f6b8-1e92-4571-b3e6-c020ca7099c3,Overhead Press,stronglift 5x5 B,Old School,5,25,10.0,20.0,500.0,23.33,58.54,-32.67,0,25,10.0,10.0,20.0,20.0,,,,,,,,10.0,10.0,20.0,20.0,211.8
89b1feeb-dd47-44a1-8b9d-e75a8135244b,1777465016836,2026-04-29T20:16:56+08:00,2026-04-29,2026-04-29 20:16,e64c7837-52e2-4b97-b771-cf08ab861af1,Conventional Deadlift,stronglift 5x5 B,Old School,1,5,35.0,70.0,350.0,81.67,36.09,-464.3,0,5,35.0,35.0,70.0,70.0,,,,,,,,35.0,35.0,70.0,70.0,603.7
b977c0cd-e306-4eef-89e1-0d4f4dbdb89b,1778650702346,2026-05-13T13:38:22+08:00,2026-05-13,2026-05-13 13:38,MUqWc_cySh8Szk49,High Bar Squat,stronglift 5x5 A,Old School,5,25,32.5,65.0,1625.0,75.83,36.7,-56.45,0,25,32.5,32.5,65.0,65.0,,,,,,,,32.5,32.5,65.0,65.0,657.2
b977c0cd-e306-4eef-89e1-0d4f4dbdb89b,1778651498429,2026-05-13T13:51:38+08:00,2026-05-13,2026-05-13 13:51,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,stronglift 5x5 A,TUT Beast,5,25,17.0,34.0,850.0,39.67,54.23,-144.15,0,25,16.7,16.79,33.4,33.57,,,,,,,,16.7,16.79,33.4,33.57,297.3
b977c0cd-e306-4eef-89e1-0d4f4dbdb89b,1778652168453,2026-05-13T14:02:48+08:00,2026-05-13,2026-05-13 14:02,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,stronglift 5x5 A,Old School,5,25,17.0,34.0,850.0,39.67,70.29,-136.37,0,25,17.0,17.0,34.0,34.0,,,,,,,,17.0,17.0,34.0,34.0,367.3
504146e6-a6c6-456c-8474-efebdb1b3b56,1778652803213,2026-05-13T14:13:23+08:00,2026-05-13,2026-05-13 14:13,MUqWc_cySh8Szk49,High Bar Squat,,Echo,1,5,20.0,40.0,795.5,46.67,21.76,-197.77,5,0,67.65,62.37,135.3,124.74,67.65,62.37,79.55,135.3,124.74,159.1,1119.1,,,,,
66883a36-03c0-4567-973e-7f38a626f1c7,1778652960053,2026-05-13T14:16:00+08:00,2026-05-13,2026-05-13 14:16,MUqWc_cySh8Szk49,High Bar Squat,,Echo,1,5,20.0,40.0,831.0,46.67,25.35,-25.2,5,0,70.0,66.71,140.0,133.43,70.0,66.71,83.1,140.0,133.43,166.2,1217.6,,,,,
bae9cb22-162b-4d9c-b49c-732e77b629bd,1778919483362,2026-05-16T16:18:03+08:00,2026-05-16,2026-05-16 16:18,MUqWc_cySh8Szk49,High Bar Squat,stronglift 5x5 B,Old School,5,25,34.0,68.0,2360.0,79.33,34.43,-390.04,5,20,72.75,70.81,145.5,141.62,72.75,70.81,100.0,145.5,141.62,200.0,1348.5,34.0,34.0,68.0,68.0,734.1
bae9cb22-162b-4d9c-b49c-732e77b629bd,1778920377932,2026-05-16T16:32:57+08:00,2026-05-16,2026-05-16 16:32,e467f6b8-1e92-4571-b3e6-c020ca7099c3,Overhead Press,stronglift 5x5 B,Old School,5,26,14.0,28.0,886.8,32.67,55.01,-99.87,6,20,23.0,21.53,46.0,43.06,23.0,21.53,32.65,46.0,43.06,65.3,459.4,14.0,13.98,28.0,27.96,270.4
bae9cb22-162b-4d9c-b49c-732e77b629bd,1778921180912,2026-05-16T16:46:20+08:00,2026-05-16,2026-05-16 16:46,e64c7837-52e2-4b97-b771-cf08ab861af1,Conventional Deadlift,stronglift 5x5 B,Old School,2,11,40.0,80.0,1449.4,93.33,28.82,-467.6,6,5,69.75,66.73,139.5,133.47,69.75,66.73,87.45,139.5,133.47,174.9,1128.5,40.0,39.99,80.0,79.98,676.2
79ff922d-ef3a-41e8-abca-991c0f3e31f0,1779163002140,2026-05-19T11:56:42+08:00,2026-05-19,2026-05-19 11:56,MUqWc_cySh8Szk49,High Bar Squat,stronglift 5x5 A,Old School,5,25,35.5,71.0,2420.0,82.83,31.82,-389.0,5,20,72.65,69.91,145.3,139.82,72.65,69.91,100.0,145.3,139.82,200.0,1396.8,35.5,35.5,71.0,71.0,715.7
79ff922d-ef3a-41e8-abca-991c0f3e31f0,1779163878188,2026-05-19T12:11:18+08:00,2026-05-19,2026-05-19 12:11,NmuYV1NROjrd0NaU,Neutral Grip Bench Press,stronglift 5x5 A,TUT Beast,5,25,18.0,36.0,1041.0,42.0,46.07,-147.44,5,20,29.65,29.35,59.3,58.71,29.65,29.35,32.1,59.3,58.71,64.2,456.9,17.7,17.78,35.4,35.55,295.1
79ff922d-ef3a-41e8-abca-991c0f3e31f0,1779164669315,2026-05-19T12:24:29+08:00,2026-05-19,2026-05-19 12:24,31ea9d9e-669c-4752-9f44-80c3fa864021,Bent Over Row,stronglift 5x5 A,Old School,6,30,17.0,34.0,1314.0,39.67,59.95,-233.48,5,25,32.5,31.65,65.0,63.31,32.5,31.65,46.4,65.0,63.31,92.8,527.6,17.0,17.0,34.0,34.0,327.6
f9cf03d9-274b-4d3e-aed0-cd3843aab74e,1779314303530,2026-05-21T05:58:23+08:00,2026-05-21,2026-05-21 05:58,MUqWc_cySh8Szk49,High Bar Squat,stronglift 5x5 B,Old School,5,25,36.0,72.0,2440.0,84.0,29.8,-404.22,5,20,69.55,69.25,139.1,138.5,69.55,69.25,100.0,139.1,138.5,200.0,1352.5,36.0,36.0,72.0,72.0,714.8
f9cf03d9-274b-4d3e-aed0-cd3843aab74e,1779315214223,2026-05-21T06:13:34+08:00,2026-05-21,2026-05-21 06:13,e467f6b8-1e92-4571-b3e6-c020ca7099c3,Overhead Press,stronglift 5x5 B,Old School,5,25,14.0,28.0,909.0,32.67,52.39,-57.6,5,20,24.4,23.26,48.8,46.51,24.4,23.26,34.9,48.8,46.51,69.8,479.6,14.0,14.0,28.0,28.0,284.9
f9cf03d9-274b-4d3e-aed0-cd3843aab74e,1779315867055,2026-05-21T06:24:27+08:00,2026-05-21,2026-05-21 06:24,e64c7837-52e2-4b97-b771-cf08ab861af1,Conventional Deadlift,stronglift 5x5 B,Old School,2,10,42.5,85.0,1331.0,99.17,29.01,-494.61,5,5,73.45,69.31,146.9,138.63,73.45,69.31,90.6,146.9,138.63,181.2,1185.1,42.5,42.5,85.0,85.0,697.2
